Top pages,Clicks,Impressions,CTR,Position
https://www.texasspecialed.com/districts/cypress-fairbanks-isd,1,38,2.63%,8.05
https://www.texasspecialed.com/districts/grand-prairie-isd/partners,1,32,3.12%,5.38
https://www.texasspecialed.com/districts/northside-isd/leadership-directory,1,32,3.12%,8.72
https://www.texasspecialed.com/districts/mesquite-isd/leadership-directory,1,31,3.23%,7.81
https://www.texasspecialed.com/districts/killeen-isd/leadership-directory.html,1,29,3.45%,6.55
https://www.texasspecialed.com/districts/hays-cisd/evaluation-child-find,1,26,3.85%,4.12
https://www.texasspecialed.com/districts/katy-isd/evaluation-child-find,1,24,4.17%,6.33
https://www.texasspecialed.com/blog/how-to-disagree-at-ard-meeting,1,24,4.17%,7.08
https://www.texasspecialed.com/districts/san-antonio-isd/ard-process-guide,1,21,4.76%,5.33
https://www.texasspecialed.com/districts/comal-isd/grievance-dispute-resolution,1,20,5%,7.05
https://www.texasspecialed.com/districts/idea-public-schools/grievance-dispute-resolution,1,17,5.88%,5.88
https://www.texasspecialed.com/districts/conroe-isd/partners,1,16,6.25%,7
https://www.texasspecialed.com/districts/lubbock-isd/partners,1,16,6.25%,8
https://www.texasspecialed.com/districts/mesquite-isd,1,16,6.25%,9.56
https://www.texasspecialed.com/blog/ard-rights-parents,1,15,6.67%,6.2
https://www.texasspecialed.com/districts/north-east-isd/ard-process-guide,1,15,6.67%,34.87
https://www.texasspecialed.com/districts/northwest-isd/grievance-dispute-resolution,1,14,7.14%,5
https://www.texasspecialed.com/districts/killeen-isd/,1,14,7.14%,6.86
https://www.texasspecialed.com/districts/arlington-isd/dyslexia-services,1,13,7.69%,2.69
https://www.texasspecialed.com/districts/georgetown-isd/evaluation-child-find,1,13,7.69%,5.38
https://www.texasspecialed.com/districts/bryan-isd,1,13,7.69%,7.38
https://texasspecialed.com/districts/killeen-isd/,1,13,7.69%,8.62
https://www.texasspecialed.com/districts/harlingen-cisd/partners,1,13,7.69%,9.31
https://www.texasspecialed.com/districts/mansfield-isd/evaluation-child-find,1,12,8.33%,11.83
https://www.texasspecialed.com/districts/garland-isd/ard-process-guide,1,11,9.09%,2.73
https://www.texasspecialed.com/districts/richardson-isd/,1,11,9.09%,6.45
https://www.texasspecialed.com/districts/harmony-public-schools-combined/grievance-dispute-resolution,1,10,10%,3.9
https://www.texasspecialed.com/districts/plano-isd/grievance-dispute-resolution,1,9,11.11%,4.33
https://www.texasspecialed.com/districts/judson-isd/grievance-dispute-resolution,1,9,11.11%,4.44
https://www.texasspecialed.com/resources/parent-rights-guide.pdf,1,9,11.11%,7.89
https://www.texasspecialed.com/districts/el-paso-isd/partners,1,9,11.11%,8.67
https://www.texasspecialed.com/districts/mesquite-isd/ard-process-guide,1,9,11.11%,9.11
https://www.texasspecialed.com/districts/princeton-isd,1,8,12.5%,5.75
https://www.texasspecialed.com/districts/plano-isd/evaluation-child-find.html,1,8,12.5%,7
https://www.texasspecialed.com/districts/spring-isd/dyslexia-services,1,8,12.5%,7.38
https://www.texasspecialed.com/districts/lubbock-isd,1,7,14.29%,5.57
https://www.texasspecialed.com/districts/longview-isd/partners,1,7,14.29%,6.43
https://www.texasspecialed.com/districts/abilene-isd/dyslexia-services,1,7,14.29%,7.57
https://www.texasspecialed.com/districts/arlington-isd,1,7,14.29%,7.86
https://www.texasspecialed.com/districts/wylie-isd/leadership-directory,1,6,16.67%,3.33
https://www.texasspecialed.com/districts/irving-isd/leadership-directory,1,5,20%,5
https://www.texasspecialed.com/districts/forney-isd/leadership-directory.html,1,5,20%,5.4
https://www.texasspecialed.com/districts/arlington-isd/ard-process-guide,1,5,20%,5.8
https://www.texasspecialed.com/districts/irving-isd/partners,1,5,20%,6.2
https://www.texasspecialed.com/districts/tomball-isd,1,5,20%,7.8
https://www.texasspecialed.com/districts/clear-creek-isd/leadership-directory,1,5,20%,12.4
https://www.texasspecialed.com/districts/fort-worth-isd/evaluation-child-find,1,5,20%,18.4
https://www.texasspecialed.com/districts/college-station-isd/evaluation-child-find,1,4,25%,2.25
https://www.texasspecialed.com/districts/tyler-isd/evaluation-child-find,1,4,25%,3.25
https://www.texasspecialed.com/districts/prosper-isd/evaluation-child-find,1,4,25%,7
https://www.texasspecialed.com/districts/allen-isd/leadership-directory,1,4,25%,8
https://www.texasspecialed.com/districts/longview-isd/dyslexia-services,1,3,33.33%,1.33
https://www.texasspecialed.com/districts/klein-isd/ard-process-guide,1,3,33.33%,3.67
https://www.texasspecialed.com/districts/belton-isd/grievance-dispute-resolution,1,3,33.33%,6.67
https://www.texasspecialed.com/districts/mckinney-isd/leadership-directory,1,3,33.33%,10.67
https://www.texasspecialed.com/districts/belton-isd/dyslexia-services,1,2,50%,3
https://www.texasspecialed.com/districts/wylie-isd/grievance-dispute-resolution,1,2,50%,3
https://www.texasspecialed.com/districts/lake-travis-isd/dyslexia-services,1,2,50%,8
https://www.texasspecialed.com/districts/bryan-isd/dyslexia-services.html,1,1,100%,1
https://www.texasspecialed.com/districts/ector-county-isd/dyslexia-services,1,1,100%,2
https://www.texasspecialed.com/districts/grapevine-colleyville-isd/dyslexia-services,1,1,100%,3
https://www.texasspecialed.com/districts/temple-isd/evaluation-child-find,1,1,100%,3
https://www.texasspecialed.com/districts/grand-prairie-isd/evaluation-child-find,1,1,100%,8
https://www.texasspecialed.com/districts/bastrop-isd,1,1,100%,12
https://www.texasspecialed.com/districts/garland-isd/special-ed-updates,0,115,0%,9.02
https://www.texasspecialed.com/blog/due-process-texas,0,88,0%,11.18
https://texasspecialed.com/districts/frisco-isd/,0,84,0%,9.88
https://www.texasspecialed.com/districts/frisco-isd/,0,82,0%,8.79
https://www.texasspecialed.com/blog/manifestation-determination,0,81,0%,10.48
https://www.texasspecialed.com/districts/mckinney-isd,0,81,0%,10.7
https://www.texasspecialed.com/blog/ard-meeting-tips,0,71,0%,10.63
https://www.texasspecialed.com/districts/hays-cisd/leadership-directory.html,0,58,0%,6.12
https://www.texasspecialed.com/districts/frisco-isd/grievance-dispute-resolution,0,49,0%,5.2
https://www.texasspecialed.com/districts/hays-cisd/leadership-directory,0,48,0%,6.52
https://www.texasspecialed.com/,0,47,0%,17.28
https://www.texasspecialed.com/districts/hays-cisd/partners,0,46,0%,7.15
https://www.texasspecialed.com/blog/dyslexia-hb3928-changes,0,45,0%,7.33
https://www.texasspecialed.com/understanding-fiie-texas,0,42,0%,8.17
https://www.texasspecialed.com/blog/how-to-write-measurable-iep-goals,0,41,0%,12.15
https://texasspecialed.com/,0,35,0%,33.46
https://www.texasspecialed.com/districts/hays-cisd,0,34,0%,10.35
https://www.texasspecialed.com/districts/el-paso-isd/grievance-dispute-resolution,0,31,0%,6.81
https://www.texasspecialed.com/districts/allen-isd/district-updates,0,31,0%,16.84
https://www.texasspecialed.com/districts/fort-worth-isd/grievance-dispute-resolution,0,28,0%,5.46
https://www.texasspecialed.com/districts/austin-isd/grievance-dispute-resolution,0,28,0%,5.96
https://www.texasspecialed.com/districts/rockwall-isd,0,27,0%,7.59
https://www.texasspecialed.com/districts/carroll-isd/leadership-directory.html,0,27,0%,10.41
https://www.texasspecialed.com/districts/north-east-isd/ard-process-guide.html.html,0,27,0%,15.26
https://www.texasspecialed.com/districts/humble-isd/ard-process-guide,0,27,0%,24.15
https://www.texasspecialed.com/districts/houston-isd/evaluation-child-find,0,26,0%,7.15
https://www.texasspecialed.com/districts/comal-isd/what-is-fie,0,25,0%,4.2
https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd,0,25,0%,9.96
https://www.texasspecialed.com/districts/idea-public-schools/evaluation-child-find,0,25,0%,14.36
https://www.texasspecialed.com/districts/mckinney-isd/grievance-dispute-resolution.html,0,24,0%,6.17
https://www.texasspecialed.com/districts/leander-isd/,0,24,0%,9.12
https://www.texasspecialed.com/districts/comal-isd/what-is-fie.html,0,23,0%,3.65
https://www.texasspecialed.com/districts/northside-isd/grievance-dispute-resolution,0,23,0%,4.74
https://www.texasspecialed.com/districts/fort-worth-isd/ard-process-guide,0,22,0%,6.95
https://texasspecialed.com/districts/richardson-isd/,0,22,0%,7.55
https://www.texasspecialed.com/districts/united-isd/dyslexia-services,0,22,0%,8.45
https://www.texasspecialed.com/districts/burleson-isd/partners,0,21,0%,6.62
https://www.texasspecialed.com/districts/allen-isd/partners,0,21,0%,7.05
https://www.texasspecialed.com/districts/aldine-isd/leadership-directory,0,21,0%,8.24
https://www.texasspecialed.com/districts/weslaco-isd,0,21,0%,8.29
https://www.texasspecialed.com/what-to-do-when-school-denies-evaluation,0,20,0%,4.6
https://www.texasspecialed.com/districts/cypress-fairbanks-isd/partners,0,20,0%,7.7
https://www.texasspecialed.com/districts/conroe-isd/dyslexia-services,0,19,0%,4.11
https://www.texasspecialed.com/districts/keller-isd/grievance-dispute-resolution,0,19,0%,4.47
https://www.texasspecialed.com/districts/new-caney-isd,0,19,0%,9
https://www.texasspecialed.com/districts/idea-public-schools/dyslexia-services,0,19,0%,10.42
https://www.texasspecialed.com/districts/alvin-isd/grievance-dispute-resolution.html,0,18,0%,4.89
https://www.texasspecialed.com/districts/hays-cisd/ard-process-guide,0,18,0%,5.89
https://www.texasspecialed.com/districts/lamar-cisd/grievance-dispute-resolution,0,18,0%,6.06
https://www.texasspecialed.com/districts/conroe-isd/ard-process-guide,0,18,0%,11.06
https://www.texasspecialed.com/districts/waller-isd/grievance-dispute-resolution,0,17,0%,6.47
https://www.texasspecialed.com/districts/mansfield-isd/grievance-dispute-resolution,0,17,0%,6.59
https://www.texasspecialed.com/districts/magnolia-isd/partners,0,17,0%,7
https://www.texasspecialed.com/districts/spring-branch-isd/evaluation-child-find,0,17,0%,7.06
https://www.texasspecialed.com/districts/mcallen-isd/partners,0,17,0%,7.12
https://www.texasspecialed.com/districts/lamar-cisd/leadership-directory,0,17,0%,7.71
https://www.texasspecialed.com/about/,0,17,0%,82.76
https://www.texasspecialed.com/districts/el-paso-isd,0,16,0%,4.62
https://www.texasspecialed.com/districts/spring-isd/grievance-dispute-resolution,0,16,0%,5.25
https://www.texasspecialed.com/districts/austin-isd/ard-process-guide,0,16,0%,5.62
https://www.texasspecialed.com/districts/beaumont-isd,0,16,0%,6.06
https://www.texasspecialed.com/districts/el-paso-isd/ard-process-guide,0,16,0%,6.31
https://www.texasspecialed.com/districts/coppell-isd/partners,0,16,0%,7
https://www.texasspecialed.com/districts/tomball-isd/partners,0,16,0%,8
https://www.texasspecialed.com/districts/fort-worth-isd,0,16,0%,8.69
https://www.texasspecialed.com/districts/weslaco-isd/leadership-directory,0,15,0%,8.87
https://www.texasspecialed.com/districts/plano-isd/ard-process-guide,0,15,0%,11.8
https://www.texasspecialed.com/districts/denton-isd/partners,0,15,0%,16.53
https://www.texasspecialed.com/districts/frisco-isd/dyslexia-services,0,14,0%,5.5
https://www.texasspecialed.com/districts/del-valle-isd/leadership-directory,0,14,0%,6.86
https://www.texasspecialed.com/districts/prosper-isd/ard-process-guide,0,13,0%,2
https://www.texasspecialed.com/districts/allen-isd/evaluation-child-find.html,0,13,0%,3.62
https://www.texasspecialed.com/districts/birdville-isd/grievance-dispute-resolution,0,13,0%,6.54
https://www.texasspecialed.com/districts/killeen-isd/partners,0,13,0%,6.77
https://www.texasspecialed.com/districts/cypress-fairbanks-isd/ard-process-guide,0,13,0%,7.38
https://www.texasspecialed.com/districts/garland-isd/leadership-directory,0,13,0%,8
https://www.texasspecialed.com/districts/idea-public-schools/partners.html,0,13,0%,8.15
https://www.texasspecialed.com/districts/bryan-isd/partners,0,13,0%,8.54
https://www.texasspecialed.com/districts/brownsville-isd/partners,0,13,0%,9.08
https://www.texasspecialed.com/districts/college-station-isd,0,13,0%,9.77
https://www.texasspecialed.com/districts/east-central-isd/ard-process-guide,0,13,0%,10.15
http://texasspecialed.com/,0,13,0%,20.77
https://www.texasspecialed.com/districts/hays-cisd/evaluation-child-find.html,0,12,0%,6
https://www.texasspecialed.com/districts/new-caney-isd/partners,0,12,0%,6.67
https://texasspecialed.com/districts/midway-isd/,0,12,0%,6.92
https://www.texasspecialed.com/districts/carroll-isd/leadership-directory,0,12,0%,6.92
https://www.texasspecialed.com/districts/dallas-isd/dyslexia-services,0,12,0%,7.25
https://www.texasspecialed.com/districts/eanes-isd/partners,0,12,0%,8.25
https://www.texasspecialed.com/districts/aldine-isd/partners,0,12,0%,10.42
https://www.texasspecialed.com/districts/austin-isd/evaluation-child-find,0,11,0%,4.55
https://www.texasspecialed.com/districts/pharr-san-juan-alamo-isd/grievance-dispute-resolution,0,11,0%,5.18
https://www.texasspecialed.com/districts/dallas-isd,0,11,0%,5.64
https://www.texasspecialed.com/districts/belton-isd/leadership-directory,0,11,0%,6.18
https://www.texasspecialed.com/districts/lubbock-isd/dyslexia-services,0,11,0%,6.18
https://www.texasspecialed.com/districts/klein-isd,0,11,0%,6.36
https://www.texasspecialed.com/districts/houston-isd/leadership-directory,0,11,0%,6.64
https://www.texasspecialed.com/districts/leander-isd/leadership-directory,0,11,0%,7.55
https://www.texasspecialed.com/districts/spring-isd/ard-process-guide,0,11,0%,7.91
https://www.texasspecialed.com/districts/richardson-isd,0,11,0%,8.27
https://www.texasspecialed.com/districts/el-paso-isd/dyslexia-services,0,11,0%,8.36
https://www.texasspecialed.com/districts/ector-county-isd/grievance-dispute-resolution,0,11,0%,9.64
https://www.texasspecialed.com/districts/prosper-isd/,0,11,0%,10.82
https://www.texasspecialed.com/how-to-write-measurable-iep-goals,0,11,0%,14.82
https://www.texasspecialed.com/districts/royse-city-isd/ard-process-guide,0,10,0%,3
https://www.texasspecialed.com/districts/brownsville-isd/grievance-dispute-resolution,0,10,0%,3.8
https://www.texasspecialed.com/districts/allen-isd/evaluation-child-find,0,10,0%,4.2
https://www.texasspecialed.com/districts/leander-isd/evaluation-child-find,0,10,0%,4.8
https://www.texasspecialed.com/districts/santa-fe-isd,0,10,0%,6
https://www.texasspecialed.com/districts/pflugerville-isd/leadership-directory,0,10,0%,6.3
https://www.texasspecialed.com/districts/idea-public-schools/partners,0,10,0%,6.6
https://www.texasspecialed.com/districts/georgetown-isd/leadership-directory,0,10,0%,6.9
https://www.texasspecialed.com/districts/denton-isd/dyslexia-services,0,10,0%,7
https://www.texasspecialed.com/districts/ysleta-isd/grievance-dispute-resolution,0,10,0%,7
https://www.texasspecialed.com/districts/eagle-mountain-saginaw-isd/evaluation-child-find,0,10,0%,7.3
https://www.texasspecialed.com/districts/schertz-cibolo-universal-city-isd/leadership-directory,0,10,0%,7.7
https://www.texasspecialed.com/districts/schertz-cibolo-universal-city-isd/grievance-dispute-resolution,0,9,0%,4
https://www.texasspecialed.com/districts/prosper-isd/grievance-dispute-resolution,0,9,0%,5
https://www.texasspecialed.com/districts/mesquite-isd/evaluation-child-find,0,9,0%,5.67
https://www.texasspecialed.com/about,0,9,0%,6.11
https://www.texasspecialed.com/districts/richardson-isd/dyslexia-services,0,9,0%,6.33
https://www.texasspecialed.com/districts/spring-isd/partners,0,9,0%,7.11
https://www.texasspecialed.com/districts/round-rock-isd/partners,0,9,0%,7.33
https://www.texasspecialed.com/districts/lubbock-isd/partners.html,0,9,0%,7.44
https://www.texasspecialed.com/districts/north-east-isd,0,9,0%,8
https://www.texasspecialed.com/districts/northside-isd/partners,0,9,0%,8.22
https://www.texasspecialed.com/districts/grapevine-colleyville-isd,0,9,0%,8.67
https://www.texasspecialed.com/districts/corpus-christi-isd/leadership-directory,0,9,0%,8.89
https://www.texasspecialed.com/blog/child-find-obligations,0,9,0%,22.67
https://www.texasspecialed.com/districts/lake-travis-isd/ard-process-guide,0,8,0%,1.5
https://www.texasspecialed.com/districts/rockwall-isd/grievance-dispute-resolution,0,8,0%,2.88
https://www.texasspecialed.com/districts/idea-public-schools/leadership-directory,0,8,0%,4.62
https://www.texasspecialed.com/districts/pasadena-isd/ard-process-guide,0,8,0%,5.12
https://www.texasspecialed.com/districts/alief-isd/grievance-dispute-resolution,0,8,0%,5.38
https://www.texasspecialed.com/districts/spring-branch-isd,0,8,0%,5.88
https://www.texasspecialed.com/districts/lewisville-isd/dyslexia-services,0,8,0%,6.12
https://www.texasspecialed.com/districts/spring-isd/leadership-directory,0,8,0%,6.12
https://www.texasspecialed.com/districts/spring-branch-isd/leadership-directory,0,8,0%,6.38
https://www.texasspecialed.com/districts/midway-isd/,0,8,0%,6.5
https://www.texasspecialed.com/districts/comal-isd/partners,0,8,0%,6.88
https://www.texasspecialed.com/districts/rockwall-isd/evaluation-child-find,0,8,0%,6.88
https://www.texasspecialed.com/districts/bastrop-isd/partners,0,8,0%,7
https://www.texasspecialed.com/districts/katy-isd/dyslexia-services,0,8,0%,7.62
https://www.texasspecialed.com/districts/houston-isd,0,8,0%,8.25
https://www.texasspecialed.com/districts/corpus-christi-isd,0,8,0%,8.75
https://www.texasspecialed.com/districts/bryan-isd/,0,8,0%,9
https://www.texasspecialed.com/districts/midland-isd/dyslexia-services,0,8,0%,9.75
https://www.texasspecialed.com/districts/schertz-cibolo-universal-city-isd/dyslexia-services,0,7,0%,2.57
https://www.texasspecialed.com/districts/midland-isd/grievance-dispute-resolution,0,7,0%,3.43
https://www.texasspecialed.com/districts/allen-isd,0,7,0%,4.29
https://www.texasspecialed.com/districts/la-joya-isd/grievance-dispute-resolution,0,7,0%,4.29
https://www.texasspecialed.com/districts/seguin-isd/ard-process-guide,0,7,0%,4.43
https://www.texasspecialed.com/districts/schertz-cibolo-universal-city-isd/ard-process-guide,0,7,0%,4.57
https://www.texasspecialed.com/districts/killeen-isd/ard-process-guide,0,7,0%,4.86
https://www.texasspecialed.com/districts/northside-isd/ard-process-guide,0,7,0%,5.43
https://texasspecialed.com/districts/bryan-isd/,0,7,0%,5.57
https://www.texasspecialed.com/districts/mckinney-isd/evaluation-child-find,0,7,0%,5.71
https://www.texasspecialed.com/districts/wylie-isd,0,7,0%,6.14
https://www.texasspecialed.com/districts/birdville-isd/evaluation-child-find,0,7,0%,7
https://www.texasspecialed.com/districts/hurst-euless-bedford-isd/partners,0,7,0%,7.43
https://www.texasspecialed.com/districts/pasadena-isd/grievance-dispute-resolution,0,7,0%,7.43
https://www.texasspecialed.com/districts/richardson-isd/leadership-directory,0,7,0%,7.57
https://www.texasspecialed.com/districts/spring-isd,0,7,0%,7.57
https://www.texasspecialed.com/districts/burleson-isd/partners.html,0,7,0%,7.71
https://www.texasspecialed.com/districts/bastrop-isd/leadership-directory,0,7,0%,7.86
https://www.texasspecialed.com/districts/tyler-isd/leadership-directory,0,7,0%,8
https://www.texasspecialed.com/districts/waller-isd/evaluation-child-find,0,7,0%,8.43
https://www.texasspecialed.com/districts/round-rock-isd/leadership-directory,0,7,0%,8.86
https://www.texasspecialed.com/districts/comal-isd/partners.html,0,7,0%,11.14
https://www.texasspecialed.com/districts/harlingen-cisd/leadership-directory,0,7,0%,11.57
https://www.texasspecialed.com/resources,0,7,0%,11.71
https://www.texasspecialed.com/districts/prosper-isd,0,7,0%,11.86
https://www.texasspecialed.com/districts/dallas-isd/partners.html,0,7,0%,14
https://www.texasspecialed.com/districts/beaumont-isd/ard-process-guide,0,6,0%,1.67
https://www.texasspecialed.com/districts/allen-isd/dyslexia-services,0,6,0%,3.83
https://www.texasspecialed.com/districts/harmony-public-schools-combined/dyslexia-services,0,6,0%,4.17
https://www.texasspecialed.com/districts/prosper-isd/grievance-dispute-resolution.html,0,6,0%,4.17
https://www.texasspecialed.com/districts/san-antonio-isd/leadership-directory,0,6,0%,4.17
https://www.texasspecialed.com/districts/spring-isd/grievance-dispute-resolution.html,0,6,0%,4.83
https://www.texasspecialed.com/districts/allen-isd/grievance-dispute-resolution,0,6,0%,5.17
https://www.texasspecialed.com/districts/waco-isd/partners,0,6,0%,5.17
https://www.texasspecialed.com/districts/comal-isd,0,6,0%,5.5
https://www.texasspecialed.com/districts/forney-isd/evaluation-child-find,0,6,0%,5.5
https://www.texasspecialed.com/districts/hays-cisd/partners.html,0,6,0%,5.5
https://www.texasspecialed.com/districts/seguin-isd/partners,0,6,0%,5.67
https://www.texasspecialed.com/districts/frisco-isd/leadership-directory,0,6,0%,6.5
https://www.texasspecialed.com/districts/melissa-isd/grievance-dispute-resolution,0,6,0%,6.5
https://www.texasspecialed.com/districts/comal-isd/index.html,0,6,0%,7.17
https://www.texasspecialed.com/districts/forney-isd/leadership-directory,0,6,0%,7.17
https://www.texasspecialed.com/districts/mcallen-isd/leadership-directory,0,6,0%,7.33
https://www.texasspecialed.com/districts/tyler-isd/ard-process-guide,0,6,0%,7.33
https://www.texasspecialed.com/districts/corpus-christi-isd/partners,0,6,0%,8.5
https://www.texasspecialed.com/districts/cypress-fairbanks-isd/ard-process-guide.html.html,0,6,0%,8.5
https://www.texasspecialed.com/districts/brownsville-isd/leadership-directory.html,0,6,0%,8.83
https://www.texasspecialed.com/districts/dallas-isd/partners,0,6,0%,9.17
https://www.texasspecialed.com/districts/klein-isd/partners,0,6,0%,10.5
https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/partners,0,6,0%,11
https://www.texasspecialed.com/districts/austin-isd/leadership-directory,0,6,0%,16
https://www.texasspecialed.com/districts/midland-isd/ard-process-guide,0,6,0%,32.17
https://www.texasspecialed.com/districts/eagle-mountain-saginaw-isd/dyslexia-services,0,5,0%,3
https://www.texasspecialed.com/districts/dallas-isd/evaluation-child-find,0,5,0%,3.6
https://www.texasspecialed.com/districts/denton-isd/grievance-dispute-resolution,0,5,0%,4.8
https://www.texasspecialed.com/districts/crowley-isd/partners,0,5,0%,5.2
https://www.texasspecialed.com/districts/amarillo-isd/dyslexia-services,0,5,0%,5.4
https://www.texasspecialed.com/districts/idea-public-schools,0,5,0%,5.4
https://www.texasspecialed.com/districts/east-central-isd/leadership-directory,0,5,0%,5.6
https://www.texasspecialed.com/districts/mansfield-isd/dyslexia-services,0,5,0%,5.6
https://www.texasspecialed.com/districts/plano-isd/leadership-directory,0,5,0%,6
https://www.texasspecialed.com/districts/copperas-cove-isd/leadership-directory,0,5,0%,6.2
https://www.texasspecialed.com/districts/del-valle-isd,0,5,0%,6.2
https://www.texasspecialed.com/districts/laredo-isd/leadership-directory,0,5,0%,6.2
https://www.texasspecialed.com/districts/mission-cisd,0,5,0%,6.2
https://www.texasspecialed.com/districts/rockwall-isd/ard-process-guide,0,5,0%,6.2
https://www.texasspecialed.com/districts/del-valle-isd/grievance-dispute-resolution,0,5,0%,6.4
https://www.texasspecialed.com/districts/lake-travis-isd/partners,0,5,0%,6.4
https://www.texasspecialed.com/districts/pflugerville-isd,0,5,0%,6.6
https://www.texasspecialed.com/districts/waco-isd/dyslexia-services,0,5,0%,6.6
https://www.texasspecialed.com/districts/hurst-euless-bedford-isd/evaluation-child-find,0,5,0%,6.8
https://www.texasspecialed.com/districts/melissa-isd,0,5,0%,6.8
https://www.texasspecialed.com/districts/sherman-isd/leadership-directory,0,5,0%,7.2
https://www.texasspecialed.com/districts/leander-isd/ard-process-guide,0,5,0%,7.4
https://www.texasspecialed.com/districts/garland-isd/dyslexia-services,0,5,0%,7.6
https://www.texasspecialed.com/districts/longview-isd,0,5,0%,7.8
https://www.texasspecialed.com/districts/montgomery-isd,0,5,0%,7.8
https://www.texasspecialed.com/districts/channelview-isd/partners,0,5,0%,8
https://www.texasspecialed.com/districts/crosby-isd,0,5,0%,8
https://www.texasspecialed.com/districts/aldine-isd/ard-process-guide,0,5,0%,8.8
https://www.texasspecialed.com/districts/clint-isd/leadership-directory,0,5,0%,8.8
https://www.texasspecialed.com/districts/crowley-isd/leadership-directory,0,5,0%,12.2
https://www.texasspecialed.com/districts/new-caney-isd/evaluation-child-find,0,5,0%,13.6
https://www.texasspecialed.com/districts/lubbock-isd/dyslexia-services.html,0,4,0%,1.25
https://www.texasspecialed.com/districts/la-joya-isd/evaluation-child-find,0,4,0%,1.75
https://www.texasspecialed.com/districts/hays-cisd/dyslexia-services,0,4,0%,2.75
https://www.texasspecialed.com/districts/pharr-san-juan-alamo-isd/dyslexia-services,0,4,0%,4
https://www.texasspecialed.com/districts/crowley-isd/grievance-dispute-resolution,0,4,0%,4.25
https://www.texasspecialed.com/districts/san-antonio-isd/evaluation-child-find,0,4,0%,4.75
https://www.texasspecialed.com/districts/forney-isd/grievance-dispute-resolution,0,4,0%,5.25
https://www.texasspecialed.com/districts/laredo-isd/grievance-dispute-resolution,0,4,0%,5.25
https://www.texasspecialed.com/districts/pasadena-isd,0,4,0%,5.5
https://www.texasspecialed.com/districts/brownsville-isd,0,4,0%,6
https://www.texasspecialed.com/districts/clint-isd/leadership-directory.html,0,4,0%,6
https://www.texasspecialed.com/districts/little-elm-isd/dyslexia-services,0,4,0%,6.25
https://www.texasspecialed.com/districts/burleson-isd/leadership-directory,0,4,0%,6.5
https://www.texasspecialed.com/districts/santa-fe-isd/leadership-directory,0,4,0%,6.75
https://www.texasspecialed.com/districts/plano-isd,0,4,0%,7
https://www.texasspecialed.com/districts/georgetown-isd/grievance-dispute-resolution,0,4,0%,7.25
https://www.texasspecialed.com/districts/abilene-isd/partners.html,0,4,0%,7.75
https://www.texasspecialed.com/districts/donna-isd/partners,0,4,0%,7.75
https://www.texasspecialed.com/districts/lewisville-isd/leadership-directory,0,4,0%,9
