file,status,changes,error
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aledo-isd\what-is-an-fie-aledo-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\ard-process-guide-alice-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\es\como-solicitar-una-evaluacion-fie-alice.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\evaluation-child-find-alice-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\grievance-dispute-resolution-alice-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alice-isd\what-is-an-fie-alice-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\como-solicitar-una-evaluacion-fie-alief-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\guia-proceso-ard.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\resolucion-disputas.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\servicios-dislexia.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\es\solicitar-evaluacion.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alief-isd\what-is-an-fie-alief-isd.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\district-updates.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\allen-isd\what-is-an-fie-allen-isd.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\ard-process-guide-alvarado-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\es\como-solicitar-una-evaluacion-fie-alvarado.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\evaluation-child-find-alvarado-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\grievance-dispute-resolution-alvarado-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvarado-isd\what-is-an-fie-alvarado-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\alvin-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\amarillo-isd\what-is-an-fie-amarillo-isd.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\ard-process-guide-andrews-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\como-solicitar-una-evaluacion-fie-andrews.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\como-solicitar-una-evaluacion-fie-eanes-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\evaluation-child-find-andrews-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\grievance-dispute-resolution-andrews-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\andrews-isd\what-is-an-fie-andrews-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\ard-process-guide-angleton-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\es\como-solicitar-una-evaluacion-fie-angleton.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\evaluation-child-find-angleton-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\grievance-dispute-resolution-angleton-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\angleton-isd\what-is-an-fie-angleton-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\ard-process-guide-anna-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\es\como-solicitar-una-evaluacion-fie-anna.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\evaluation-child-find-anna-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\grievance-dispute-resolution-anna-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\anna-isd\what-is-an-fie-anna-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\ard-process-guide-argyle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\es\como-solicitar-una-evaluacion-fie-argyle.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\evaluation-child-find-argyle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\grievance-dispute-resolution-argyle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\argyle-isd\what-is-an-fie-argyle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\como-solicitar-una-evaluacion-fie-arlington-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\como-solicitar-una-evaluacion-fie-harlingen-cisd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\guia-proceso-ard.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\resolucion-disputas.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\servicios-dislexia.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\es\solicitar-evaluacion.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\arlington-isd\what-is-an-fie-arlington-isd.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\athens-isd\ard-process-guide-athens-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\athens-isd\evaluation-child-find-athens-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\athens-isd\grievance-dispute-resolution-athens-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\athens-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\athens-isd\what-is-an-fie-athens-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\ard-process-guide-aubrey-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\es\como-solicitar-una-evaluacion-fie-aubrey.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\evaluation-child-find-aubrey-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\grievance-dispute-resolution-aubrey-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\aubrey-isd\what-is-an-fie-aubrey-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\ard-process-guide.html,fixed,Moved offer [Free ARD Rights Scan] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\dyslexia-services.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\como-solicitar-una-evaluacion-fie-austin-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\guia-proceso-ard.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\resolucion-disputas.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\servicios-dislexia.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\es\solicitar-evaluacion.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\evaluation-child-find.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\grievance-dispute-resolution.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\leadership-directory.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\partners.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\austin-isd\what-is-an-fie-austin-isd.html,fixed,Moved offer [Show the ISD You Mean Business] to after paragraph 2,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\ard-process-guide-azle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\como-solicitar-una-evaluacion-fie-azle.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\como-solicitar-una-evaluacion-fie-waller-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\evaluation-child-find-azle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\grievance-dispute-resolution-azle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\azle-isd\what-is-an-fie-azle-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\ard-process-guide-barbers-hill-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\es\como-solicitar-una-evaluacion-fie-barbers-hill.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\es\evaluacion-educacion-especial-child-find.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\es\index.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\es\proceso-ard-guia-para-padres.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\es\quejas-y-disputas-educacion-especial.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\evaluation-child-find-barbers-hill-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\grievance-dispute-resolution-barbers-hill-isd.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\how-to-request-evaluation.html,unchanged,,
C:\Users\elisa\OneDrive\Documents\texas-special-ed-site\districts\barbers-hill-isd\index.html,unchanged,,
