District,Attorney Name,Law Firm,Website,Phone Number,City
Round Rock ISD,The Gallini Firm,"The Gallini Group, LLC",Unavailable,(817) 303-2820,Round Rock
Round Rock ISD,Jason Wright,"The Law Office of Jason Wright, PLLC",Unavailable,Unavailable,Round Rock
Round Rock ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",Unavailable,Unavailable,Round Rock
Round Rock ISD,Kevin and Liz Shields,Shields Law,Unavailable,Unavailable,Unavailable
Round Rock ISD,Sharon Ramage,The Ramage Law Group,texasspecialeducationattorney.com,(972) 562-9890,Dallas-Fort Worth Area
San Antonio ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,San Antonio
San Antonio ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
San Antonio ISD,,Shields Law,,,San Antonio
San Antonio ISD,Sharon Ramage,The Ramage Law Group,,,
San Antonio ISD,,Brandon Wong & Associates,,210-201-3832,San Antonio
Killeen ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://www.cuddylawfirm.com/,512-649-3191,Austin
Killeen ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Killeen ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Killeen ISD,Kevin and Liz Shields,Shields Law,,,
Killeen ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
Leander ISD,Sharon Ramage,The Ramage Law Group,,972-562-9890,Greater Dallas-Fort Worth area
Leander ISD,Kevin and Liz Shields,Shields Law,,,Texas (statewide)
Leander ISD,,Odediran Law Firm,hello@edurightslaw.com,512-886-5069,Austin
United ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
United ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
United ISD,Kevin and Liz Shields,Shields Law,,,
Clear Creek ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Clear Creek ISD,Sharon Ramage,Ramage Law Firm,,972-562-9890,Greater Dallas-Fort Worth area
Clear Creek ISD,Kevin and Liz Shields,Shields Law,,,Texas (Serving families statewide)
Clear Creek ISD,Roy Atwood,Atwood Gameros LLP,,,Texas
Mesquite ISD,Scott Thomas,Mesquite ISD General Counsel,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHiyp3iEFg65jkCRW-f4A2JFu7Z12MTVTyP9KkuLGaXn4YY4j0IEalUz7U2mk_k9WMAd5aCUD6gbWwG0CwU_gSr8lOMJzQ1PAoK7l20mvY88NXtHD-opITRiYXdUZ_jIHWsbHxqe00=,972-882-5596,Mesquite
Mesquite ISD,Dorene J. Philpot,"Philpot Law Office, P.C.",,,
Mesquite ISD,,Lento Law Firm,,888-535-3686,
Richardson ISD,Kevin and Liz Shields,Shields Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF-6hLYM44fdxDfcf0vYgFlIkjlPh2q8bq49roizCp_fdYhxqFBmUQoo-xQAC3mwT1iUy_FMeu6bgaBhuufG4gi9wdmblkm4w28W-r46P-_ELXa,Not found,Texas
Richardson ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Texas
Richardson ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHq8-Kc56gMEe2nAL8YWebfGYCQfvREr-B1To73vr7wsrQAZCQ99QzlNuZcA_PAKoICiEBd6aHBEZRY9ayaVTtVs3Fn9tovDdhRHJ4TMNLO_9v6gAMYSQGrWe1egPf8j-kBzRKGQYyG7IsiofLaAp35FIe3bI8e,512-649-3191,Austin
Richardson ISD,Roy Atwood,Atwood Gameros LLP,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF-Iy8hF9VdqG0oWNZRfYOotsyxjKPp_5S2m_0ch6NKA2O4Sp0jb7dbQ3Rw9kAe6Tud5oeHlSlMtCbEnl7DejxVcLePD1dlXnjOQbg0frlzB9CKkRntOyf1F042dUPpBnORf18u7i4BaFBaN4Yi,Not found,Texas
Richardson ISD,Jennifer Richardson,Richardson Brown,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHhboctPYgz2xq6B2xxTh8akQtyKJljb_fnxh8m6uXAFBJfGEp7i_gZmSyNEF2D2ZUsxq1MzDiLOrxjUzFj1Z7C-z-vuylzw-LfSGbSs10dlQ5fONp6ecQrmi9-IIGpcQK_Db1ykcnwZsT2hhtrNLXl5vmVZA==,(972) 832-8058,Richardson
Alief ISD,Boyd Handley,The Handley Law Office,,281.703.3616,Houston
Alief ISD,Dorene J. Philpot,"Philpot Law Office, P.C.",,,
Mansfield ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Mansfield ISD,Kevin and Liz Shields,Shields Law,"No website was specified, but information about Shields Law can be found via search.",Not found in the search results.,Texas
Denton ISD,Roy Atwood,Atwood Gameros LLP,,,
Denton ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Denton
Denton ISD,Goz Odediran,Odediran Law Firm,,,Austin
Denton ISD,Kevin and Liz Shields,Shields Law,,,
Denton ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Ector County ISD,Kevin and Liz Shields,Shields Law,,,
Ector County ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Spring ISD,Janet Horton,Thompson & Horton,,,
Spring ISD,Rebecca Bailey,Thompson & Horton,,,
Spring ISD,Ashley Addo,Thompson & Horton,,,
Spring Branch ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,
Spring Branch ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Spring Branch ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Spring Branch ISD,Goz Odediran,Odediran Law Firm,,,
Spring Branch ISD,Jennifer Swanson,"Swanson Law, PLLC",,,
Corpus Christi ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Corpus Christi
Corpus Christi ISD,Augustin Rivera Jr.,,,,Corpus Christi
Corpus Christi ISD,Kevin and Liz Shields,Shields Law,www.shieldslawtexas.com,,
Corpus Christi ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Keller ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Keller ISD,Sharon Ramage,The Ramage Law Firm,,972-562-9890,McKinney
Keller ISD,Kevin and Liz Shields,Shields Law,,,
Keller ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Keller ISD,Roy Atwood,Atwood Gameros LLP,,,
Irving ISD,Sharon Ramage,The Ramage Law Group,N/A,972-562-9890,McKinney
Irving ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",N/A,N/A,N/A
Irving ISD,Kevin and Liz Shields,Shields Law,N/A,N/A,N/A
Prosper ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Prosper ISD,Kevin and Liz Shields,Shields Law,,,
Prosper ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Prosper ISD,Roy Atwood,Atwood Gameros LLP,,,
Pharr-San Juan-Alamo ISD,Jennifer Swanson,"Swanson Law, PLLC",Unavailable,Unavailable,Katy
Pharr-San Juan-Alamo ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth area
Pharr-San Juan-Alamo ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",Unavailable,512-649-3191,Austin
Pharr-San Juan-Alamo ISD,Kevin and Liz Shields,Shields Law,Unavailable,Unavailable,Unavailable
Pharr-San Juan-Alamo ISD,Roy Atwood,Atwood Gameros LLP,Unavailable,Unavailable,Unavailable
Alvin ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawfirm.com/,,
Alvin ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth
Amarillo ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Amarillo
Amarillo ISD,Sharon Ramage,unavailable,unavailable,unavailable,unavailable
Northwest ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Northwest ISD,Kevin and Liz Shields,Shields Law,https://shieldslaw.net/,,Texas (statewide)
Northwest ISD,Goz Odediran,Odediran Law Firm,,,Texas (statewide)
Northwest ISD,,Ryan Law PLLC,,,Texas
Comal ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Comal ISD,Roy Atwood,Atwood Gameros LLP,,,
Comal ISD,Kevin and Liz Shields,Shields Law,,,
Comal ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Comal ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Edinburg CISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Edinburg CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Edinburg CISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Edinburg CISD,Kevin and Liz Shields,Shields Law,,,
Midland ISD,Sharon Ramage,Ramage Law Firm,,972-562-9890,Greater Dallas-Fort Worth area
Midland ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,
Midland ISD,Kevin and Liz Shields,Shields Law,,,
Midland ISD,Arturo Urteaga,,,,Midland
Midland ISD,Leah Robertson,,,,Midland
Judson ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawfirm.com/,,
Judson ISD,Goz Odediran,Odediran Law Firm,,,
Judson ISD,Sharon Ramage,The Ramage Law Group,,972-562-9890,Greater Dallas-Fort Worth area
Judson ISD,Roy Atwood,Atwood Gameros LLP,,,
Pflugerville ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Texas (statewide)
Pflugerville ISD,Roy Atwood,Atwood Gameros LLP,,,North Texas
Pflugerville ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Pflugerville ISD,Kevin and Liz Shields,Shields Law,,,Texas (statewide)
Carrollton-Farmers Branch ISD,Matthew L. Finch,"The Law Offices of Matthew L. Finch, P.C.",,(210) 223-1123,San Antonio
Carrollton-Farmers Branch ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Greater Dallas-Fort Worth area
Carrollton-Farmers Branch ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Carrollton-Farmers Branch ISD,Kevin and Liz Shields,Shields Law,,,
Carrollton-Farmers Branch ISD,Roy Atwood,Atwood Gameros LLP,,,
Lubbock ISD,Jennifer Calfin (Beasley),Disability Rights Texas,N/A,806-370-1480,Lubbock
Lubbock ISD,Unknown,Shields Law Firm,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHcfhDEJ4uIFM9orE2XI317JTvyB2NYNCRsqVLASEE73_CdENiIQtIAlZKgHLWV-3dKXS2vI1-pYLmy55TBtdUTeiu9tgA9aZ0yrhbR6VKHg-Sp,Unknown,Lubbock
Lubbock ISD,Unknown,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,N/A
Lubbock ISD,Unknown,"The Law Office of Keith Altman, PLLC",N/A,Unknown,Lubbock
Lubbock ISD,Unknown,Underwood Law Firm,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGprH538tLPJd9pk3ggHkee3KWfm8sRu0sP1d6esGSp6K0_8vO-JW5ysA9ij53-t5SfeHPgF9OPV0RKl25tdPjweyKJsqy5om97z3VJJE_n_xO5mjFwXdK35jVnACVneOg=,806 793 1711,Lubbock
Hays CISD,Alexis Bucelo Diaz,BUCELO DIAZ LAW PLLC,,(954) 399-1910,"Weston, FL"
Hays CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Greater Dallas-Fort Worth area
Hays CISD,Kevin and Liz Shields,Shields Law,,,Texas
La Joya ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
La Joya ISD,Roy Atwood,Atwood Gameros LLP,,,North Texas
La Joya ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
La Joya ISD,Kevin and Liz Shields,Shields Law,,,
La Joya ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Eagle Mountain-Saginaw ISD,Myrna B. Silver,Attorney at Law,,,Dallas
Eagle Mountain-Saginaw ISD,Fritz Hager,Hager Law,https://hagerlawpc.com/,,
Eagle Mountain-Saginaw ISD,Justin Chapa,McDowell Hetherington LLP,,,Arlington
Goose Creek CISD,Kevin and Liz Shields,Shields Law,https://shieldslawfirm.com/,,
Goose Creek CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Dallas-Fort Worth area
Goose Creek CISD,Goz,Odediran Law Firm,,,
McKinney ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,McKinney
McKinney ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,McKinney
Tomball ISD,Sharon Ramage,Ramage Law Group,https://www.ramagelawgroup.com/,972-562-9890,Greater Dallas-Fort Worth Area
Tomball ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,Texas (statewide)
Tomball ISD,William James Hawkins Jr.,,,,Tomball
Birdville ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://www.cuddylawfirm.com/,512-649-3191,Austin
Birdville ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth
Birdville ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Birdville ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
Allen ISD,Jordan McKnight,Unknown,Unknown,Unknown,Unknown
Allen ISD,Jackie Dodd,"Dodd Law Offices, PLLC",Unknown,Unknown,Allen
Hurst-Euless-Bedford ISD,Sharon Ramage,Ramage Law Firm,https://www.ramagelawfirm.com/,972-562-9890,Dallas-Fort Worth Area
Hurst-Euless-Bedford ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Hurst-Euless-Bedford ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslaw.net/,,
Hurst-Euless-Bedford ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Hurst-Euless-Bedford ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Laredo ISD,Juan J. Cruz,J Cruz Law,unavailable,unavailable,unavailable
Laredo ISD,Mario Perez,J Cruz Law,unavailable,unavailable,unavailable
Laredo ISD,Michelle Bartley,J Cruz Law,unavailable,unavailable,San Antonio
Laredo ISD,Sharon Ramage,unavailable,unavailable,unavailable,unavailable
Laredo ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,unavailable
McAllen ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,McAllen
McAllen ISD,Sharon Ramage,,,,McAllen
McAllen ISD,Carlos Enrique Carlos Hernandez Jr.,,,,McAllen
Wylie ISD,Jordan McKnight,Unknown,Unknown,Unknown,Unknown
New Caney ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
New Caney ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
New Caney ISD,Kevin and Liz Shields,Shields Law,,,
Rockwall ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Rockwall
Rockwall ISD,Sharon Ramage,Ramage Law Firm,unavailable,972-562-9890,Rockwall
