District Name,Official Website,Executive Director Email,Main Phone,Office Address,Dyslexia Coordinator,Autism Specialist,Evaluation Coordinator,Records Clerk,Free Resources
Pasadena ISD,www.pasadenaisd.org,mlebleu@pasadenaisd.org,713-740-5379,"3920 Mickey Gilley Blvd. Pasadena, TX 77505",Brandi Johnson,NOT FOUND,Jessica Alanis,Kathryn Garcia,"Pasadena ISD provides a variety of services for students who are struggling with learning, emotions, behavior, or health conditions, and these services are available through the school district for all eligible students from ages 3-21, regardless of the severity of the disability. The district also provides transportation to the most appropriate program to meet the child's individual needs."
Humble ISD,https://www.humbleisd.net,NOT FOUND,281-641-8400,"10203 Birchridge Drive Humble, TX 77338",Alison Doolin,NOT FOUND,NOT FOUND,Mindy Eaton,"Humble ISD provides resources and interactive features for increasing family awareness of disabilities and special education processes through the Special Education Information Center (SPEDTex). They also offer various resources like TEA Fact Sheets, Parent Brochures, and links to external websites for learning and attention issues."
Socorro ISD,https://www.sisd.net/,NOT FOUND,915-937-1800,"12440 Rojas Dr., El Paso, TX 79928",Lori Anaya,NOT FOUND,NOT FOUND,Nallely Gomez,"Socorro ISD provides special education programs and services to identified children with disabilities, beginning at age three through twenty-one. They offer services such as Occupational Therapy, Physical Therapy, Dyslexia Services, Transition Services, and more."
Round Rock ISD,https://www.roundrockisd.org,Malone Email,512-464-5000,"Lillie Delgado Administration Building
1311 Round Rock Ave
Round Rock, TX 78681",Donna M. Wise,NOT FOUND,NOT FOUND,sped_records@roundrockisd.org,Round Rock ISD offers free appropriate public education to children ages 3-21 with disabilities. The Special Education Information Center (SPEDTex) provides resources and interactive features for increasing family awareness of disabilities and special education processes.
San Antonio ISD,www.saisd.net,lfranke1@saisd.net,210-354-9565,"514 W. Quincy St.San Antonio, TX 78212",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,San Antonio schools offer personalized special needs services to eligible students starting as early as age three in preschool. Students with disabilities are evaluated and receive a plan of action supporting their needs. The ARD committee and IEP can specify special transportation services necessary for a free and appropriate public education.
Killeen ISD,www.killeenisd.org,Paula.Lawrason@killeenisd.org,254-336-2822,"902 N. 10th St., Killeen, TX 76541",NOT FOUND,NOT FOUND,Cecilla Smith,NOT FOUND,"Killeen ISD offers free tutoring for students in grades 4-12, covering math, reading, and writing. The district also provides wellness resources to support the emotional well-being of students, staff, and families."
Lamar CISD,https://www.lcisd.org,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Lamar CISD provides targeted support, enrichment, and services that promote academic success and personal growth for students with disabilities. They also implement a comprehensive Child Find system to locate and identify students with disabilities who need special education."
United ISD,https://www.unitedisd.org/,NOT FOUND,NOT FOUND,"4410 State Hwy 359, Laredo, Texas 78043",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"The Special Education Information Center (SPEDTex) provides resources and interactive features for increasing family awareness of disabilities and special education processes, with the goal of improving partnerships between schools and families. SPEDTex can be contacted via phone, email or live chat."
Alief ISD,https://www.aliefisd.net,NOT FOUND,281-498-8110,"Alief ISD
4250 Cook Road
Houston, TX 77072",NOT FOUND,Sheirly Alexandre,NOT FOUND,Jasmine Tigner,"Alief ISD offers resources like the Transition and Employment Services Guide, Parent's Guide to the ARD Process, and Special Education Operating Guidelines. They also partner with organizations like SPEDTex and Partners Resource Network (Project PATH) to provide families with information, training, and support related to disabilities and special education."
Mansfield ISD,www.mansfieldisd.org,NOT FOUND,817-299-4300,"1016 Magnolia Street, Mansfield, TX 76063",Staci Buck,NOT FOUND,NOT FOUND,NOT FOUND,"Mansfield ISD offers free special education services, including evaluation, to children aged 3-21 who meet eligibility criteria. They also provide supplementary aids and services to help students with disabilities access the general education curriculum."
Ysleta ISD,www.yisd.net,David Medina,(915)434-0900,"Ysleta ISD
9600 Sims Dr
El Paso, TX 79925","Michelle Sanchez (Instruction), Imelda Wall (Evaluation)",Claudia Caballero,NOT FOUND,"Valerie Alcala, Kathleen Gaytan","Ysleta ISD provides resources such as the Texas Transition & Employment Guide in multiple languages and the Special Education Information Center (SPEDTX) to increase family awareness of disabilities and special education processes. They also offer guides for Admission, Review, and Dismissal processes, procedural safeguards, and parent-directed special education services."
Denton ISD,www.dentonisd.org,abonner@dentonisd.org,940-369-4100,"1303 N. Elm Street, Denton, TX 76201",Michelle Brown,NOT FOUND,NOT FOUND,NOT FOUND,"Denton ISD Special Education hosts Parent Resource Events and provides a continuum of student-centered, supportive services to meet the needs of eligible students between the ages of 3 and 21 with disabilities. They also offer resources like the Texas Transition and Employment Guide, SB 139 Notice to Families, and the Dyslexia Handbook."
Ector County ISD,ectorcountyisd.org,NOT FOUND,(432) 456-8719,"804 N. Sam Houston. Odessa, Tx. 79761",NOT FOUND,"Autym Bruno, Melana Moss, Kelcy Penate, Amanda Vesely",NOT FOUND,Suhey Chavez,"ECISD offers specialized programs including Applied Behavior Analysis (ABA), speech and language therapy, occupational therapy, social skills groups, and individualized education plans (IEPs). They also provide resources like the Texas Transition and Employment Guide, Unique Learning Parent Letter, Brainchild Achiever Parent Guide, and Brainchild Mechanics Parent Guide."
Spring ISD,https://www.springisd.org,Dr. Ayana Lebron,(281) 891-6000,"16717 Ella Blvd. Houston, Texas 77090",NOT FOUND,NOT FOUND,NOT FOUND,Jada Hunt,"Spring ISD provides special services at no cost to parents for students with identified disabilities or developmental delays, beginning on their third birthday. These services are individualized to meet the unique educational needs of children with disabilities."
Corpus Christi ISD,www.ccisd.us,jennifer.arismendi@ccisd.us,(361) 878-2684,"Lozano Instructional Service Center 1761 Hudson St. Corpus Christi, TX 78416",Dina Carlton,NOT FOUND,Erin Priour,NOT FOUND,"CCISD is committed to identifying children with disabilities and offers evaluations at no cost, even for children not yet in CCISD. SPEDTex provides resources and interactive features for increasing family awareness of disabilities and special education processes."
Keller ISD,https://www.kellerisd.net,NOT FOUND,817-744-1000,"350 Keller Parkway, Keller, Texas 76248",Danielle Stevens,NOT FOUND,NOT FOUND,Alison Rea,"Keller ISD provides resources and interactive features for increasing family awareness of disabilities and special education processes, with the goal of improving partnerships between schools and families. They also offer fact sheets to guide parents through the special education process, define educational terms, and explain accommodations and modifications."
Prosper ISD,https://www.prosperisd.net/,lgjanak@prosper-isd.net,945-678-0000,"605 East Seventh Street · Prosper, TX 75078",Sheri Warren,NOT FOUND,NOT FOUND,Christy McDonald,"Prosper ISD offers a Family Resource Center that provides support, resources, and training for families of children with special needs. They also host events like Sibshops for students with siblings with special needs and parent workshops."
Pharr-San Juan-Alamo ISD,psjaisd.us,NOT FOUND,(956) 354-2200,"903 N Flag St, Pharr TX 78577",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"PSJA ISD provides resources such as the Texas Transition and Employment Guide, Child Find Brochure (English and Spanish), and links to external resources like the Texas Education Agency-Special Education and the Office of Special Education & Rehabilitative Services."
Amarillo ISD,www.amaisd.org,NOT FOUND,806-326-1348,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Amarillo ISD provides information and resources to help parents understand their child's disability, their rights and responsibilities under the Individuals with Disabilities Education Act (IDEA), and facilitate collaboration for the development and delivery of services. Supplemental Special Education Services (SSES) offers a one-time online grant to parents of eligible special education students in Texas public schools, enabling them to purchase educational goods and services."
Northwest ISD,www.nisdtx.org,NOT FOUND,817-215-0075,"Northwest ISD ATTN: SPECIAL EDUCATION DEPARTMENT P.O. Box 77070 Fort Worth, TX 76177-0070",Ruth Ann Beagle,NOT FOUND,Gail Atkinson,NOT FOUND,"SPEDTex provides resources and interactive features for increasing family awareness of disabilities and special education processes. The district also provides support options, including referral for a special education evaluation, and tutorial, compensatory, and other academic or behavior support services."
Comal ISD,https://www.comalisd.org/,michele.martella@comalisd.org,(830) 221-2056 or 830-221-2119,"1404 IH 35 North, New Braunfels, TX 78130",Jennifer Johnson,NOT FOUND,LuAn Jonas,Veronica Prieto or Leticia Cheatham,"Comal ISD Special Education provides resources like the SPED Parent Handbook, Texas School for the Blind and Visually Impaired - General Information for Parents, information on compensatory services, and links to external websites offering overviews of special education, rules and regulations, and disability condition explanations."
Edinburg CISD,https://www.ecisd.us,a.suarez@ecisd.us,(956)289-2314,"411 N. 8th Ave. Edinburg, Tx 78539",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Edinburg CISD provides various free resources, including the Talking Book Program for Texans with visual, physical, or reading disabilities, and TEA parent resources offering guidance and support for families, including those with students in special education. The district also provides access to technology and assistive technology to help students with disabilities succeed."
Midland ISD,www.midlandisd.net,NOT FOUND,432-240-1000,615 W. Missouri Ave. Midland. TX. 79701,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Midland ISD offers free training to parents and caregivers of children up to age 22 with autism spectrum disorder (ASD) to improve their child's communication skills. The training includes a self-paced webinar and options for coaching sessions.
Mesquite ISD,www.mesquiteisd.org,mmorris@mesquiteisd.org,972-882-7700,"714 E. Kimbrough St.
",Leslie Wingate,NOT FOUND,Destiny Malone,NOT FOUND,"Mesquite ISD offers resources such as the Special Education Information Center (SPEDTex) that provides resources and interactive features to increase family awareness of disabilities and special education processes, and Navigate Life Texas. The district also provides information to help families connect with Early Childhood Intervention (ECI) Programs of Dallas County."
Richardson ISD,www.risd.org,judy.daniel@risd.org,469-593-7500,"701 W. Belt Line Road Richardson, TX 75080",Shannon Suess,NOT FOUND,Brynn Klibert,NOT FOUND,"Richardson ISD offers resources through the Special Education Information Center (SPEDTex), which provides resources and interactive features for increasing family awareness of disabilities and special education processes. They also offer Supplemental Special Education Services (SSES) which are $1,500 one-time online grants for eligible parents/caregivers of eligible students served by special education who have been impacted by COVID-19 school closures."
Leander ISD,https://www.leanderisd.org,NOT FOUND,512-570-0350,NOT FOUND,Brittany Barlow,NOT FOUND,NOT FOUND,student.records@leanderisd.org,"Leander ISD offers free resources such as the Child Find program for children aged birth to 21, which provides referral, information, and evaluation services to assess the need for special education. They also host family workshops and a Collaborative Partners podcast to help families navigate special programs and connect with community resources."
Grand Prairie ISD,www.gpisd.org,rodney.traylor@gpisd.org,972-237-4019,"2602 S. Belt Line Rd. Grand Prairie, Texas 75052",Marna Linnabary,NOT FOUND,Lauren Plemons,Rocio Vallejo,"GPISD ensures special education services at no cost are available to eligible students ages three through 21 years and to children from birth through age 21 years who have a hearing or visual impairment. The district also provides resources for parents and information on Child Find, assessment, dyslexia services, and Section 504."
Carrollton-Farmers Branch ISD,https://www.cfbisd.edu/,NOT FOUND,972-968-5800,"1745 Hutton Dr Carrollton, TX 75006",Brenda Weintraub,NOT FOUND,Nancy Gallegos,Mary Duncan,"CFBISD Special Education Department prioritizes accessibility and inclusivity, offering specially designed instruction for infants, toddlers, children, and youth from birth through 21 years of age. They also host events like Kacie's Run to benefit the All Stars Special Olympics Team."
Lubbock ISD,www.lubbockisd.org,kami.finger@lubbockisd.org,806-219-0400,"Lubbock ISD
1628 19th Street
Lubbock, TX 79401",Dana King,NOT FOUND,NOT FOUND,Sarah Wright,"Lubbock ISD provides information about options available through the Texas Driving with Disability initiative to students who have a health condition or disability that may impede effective communication and offers supplemental services from the Texas Education Agency (TEA). The district also provides community resources, disability resources, resources for families in need, mental health and behavioral resources, and bilingual resources."
La Joya ISD,https://www.lajoyaisd.net/,NOT FOUND,956-323-2570,"201 E. Expy 83 La Joya, TX 78560",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"La Joya ISD Special Education Department offers support, programs, and specialized placements at no cost to parents, aiming to increase student achievement. SPEDTex provides resources and interactive features to increase family awareness of disabilities and special education processes."
Eagle Mountain-Saginaw ISD,https://www.emsisd.com,hhughes@ems-isd.net,817-232-0880,"1600 Mustang Rock Rd, Fort Worth, TX 76179",Angie Burdzilauskas,NOT FOUND,NOT FOUND,NOT FOUND,"Eagle Mountain-Saginaw ISD provides free appropriate programs for students with disabilities, including those attending private or home schools. The district also provides online accounts to parents of eligible students served by special education who have been impacted by COVID-19 school closures, offering a one-time $1,500 grant for educational goods and services."
McKinney ISD,https://www.mckinneyisd.net/,msutton@mckinneyisd.net,469-302-4000,"One Duvall Street McKinney, Texas 75069",NOT FOUND,Micah Jason Reed,Brooklyn Monnat,Regina Inge,"McKinney ISD Special Education provides resources such as ARD Meeting Guides, Evaluation Request Letters, and IEP Goal Trackers. They also offer P.O.W.E.R. Parenting series workshops that provide strategies for managing behavior, understanding development, and navigating the school system."
Birdville ISD,www.birdvilleschools.net,Tammy Diller,817-547-3700,"6351 Boulevard 26, North Richland Hills, TX 76180",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Birdville ISD offers a comprehensive system of Child Find in which all individuals birth through 21 years old who may or may not be in school and who fall within our jurisdiction, regardless of the severity of the disability, will be located, identified and evaluated, at no cost to the parents. They also provide online training modules for Autism 101."
Alvin ISD,https://www.alvinisd.net,NOT FOUND,281-388-1130,"301 E. House Street
Alvin, TX 77511",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Alvin ISD provides a continuum of academic and behavioral support services to meet the needs of students with disabilities, including instructional accommodations, individualized education plans, inclusive support, and specialized programming. A Full and Individual Evaluation (FIE) can be conducted at no cost to parents who reside within Alvin ISD boundaries to determine if a child meets the requirements for special education services."
Spring Branch ISD,https://www.springbranchisd.com,NOT FOUND,713-251-1700,"2100 Shadowdale, Houston, TX 77043","Aissa Painter, Dyslexia and Reading Intervention Coordinator",NOT FOUND,NOT FOUND,NOT FOUND,"SBISD provides digital tools like Learning Ally, Talking Books, and Google Read & Write for text-to-speech and audiobooks, along with supports like speech-to-text and writing accommodations. They also offer parent resources, including a Special Education Parent Guide, information on various disabilities, and resources provided by the Texas Education Agency."
Clear Creek ISD,https://www.ccisd.net,mstaley@ccisd.net,281-284-0750,"Learner Support Center, 2903 Falcon Pass, Room #1038, Houston, Texas",Charlotte LeBlanc & Lisa Cann,NOT FOUND,"Denise Cummins, CCISD Director of Support Services",NOT FOUND,"The Parent Resource Center (PRC) offers free IEP and ARD process workshops, curriculum support, STAAR explanations, hands-on classes using the N2Y curriculum, visual schedule workshops, an educator/parent resource library, and community provider workshops."
Tyler ISD,www.tylerisd.org,NOT FOUND,903-262-1000,"Tyler ISD
1319 Earl Campbell Parkway
Tyler, TX 75701",Rebekah Neal (Coordinator of Instructional Services),NOT FOUND,NOT FOUND,Margueriete Jones,"Tyler ISD provides resources such as ARDs via Zoom/telephone, special education teachers collaborating with general education teachers, Google Classrooms, and individualized packets delivered to homes without internet. They also offer various online resources for autism, deaf & hard of hearing, dyslexia, early childhood, learning disabilities, low incidence disabilities and visual impairment."
Wylie ISD,www.wylieisd.net,special.education@wylieisd.net,972.429.2363,"951 S Ballard Ave Wylie, Texas 75098",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Wylie ISD offers a continuum of instructional and related services based on student data and needs, including early childhood special education, resource and inclusion, and dyslexia support. They also provide services such as speech therapy, adaptive PE, and services for the deaf/hard of hearing."
Tomball ISD,https://www.tomballisd.net,keriwilliams@tomballisd.net,281-357-3140,"Tomball Innovation Center (TIC). 11211 FM 2920. Tomball, TX 77375
OR
310 S. Cherry Street Tomball, TX 77375",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Tomball ISD provides resources and interactive features for increasing family awareness of disabilities and special education processes through the Special Education Information Center (SPEDTex). The district also uploads a child's most recent IEP to the state's APEX-ESA system if the child has been evaluated and found eligible for special education services by Tomball ISD.
Allen ISD,www.allenisd.org,NOT FOUND,972-727-0490,"612 E. Bethany Dr., Allen, TX, 75002",Kara Janasak,NOT FOUND,NOT FOUND,Shelby Schneider-Hoffart (Special Education Records Specialist),"Allen ISD offers resources such as the Texas Transition and Employment Guide in multiple languages, SB 139 Notice to Families, Procedural Safeguards, A Guide to the ARD Process, The Legal Framework, and SPEDTex (Special Education Information Center). These resources aim to increase family awareness of disabilities and special education processes."
Hurst-Euless-Bedford ISD,https://www.hebisd.edu,reneriek@hebisd.edu,817-399-2240,"501 Precinct Line Road, Hurst, TX 76053",Cyndi Riggs,NOT FOUND,Shanna Grindle,Brissa Villegas,"The Special Education Information Center (SPEDTex) provides resources and interactive features for increasing family awareness of disabilities and special education processes. HEB ISD also offers Child Find, a free referral service designed to determine whether a need for special education and related services exists for children aged birth to 21."
Goose Creek CISD,www.gccisd.net,NOT FOUND,281-420-4520,NOT FOUND,Kim Chaddick,NOT FOUND,Angela Juarez,NOT FOUND,"Goose Creek CISD provides resources like the SPEDTex, ARD Guides in multiple languages (Simplified Chinese, Somali, Spanish, Swahili, Tagalog, Thai, Turkish, Urdu, Vietnamese, Arabic, English, Farsi, French, German, Japanese, Korean, Russian) and Texas Transition Employment Guide. They also offer information on pre-K options and registration details for new and returning students."
Beaumont ISD,https://www.bmtisd.com/,NOT FOUND,409-617-5277 or 409-617-5117,NOT FOUND,Betsy Miller,NOT FOUND,NOT FOUND,Hallie Jones,"Beaumont ISD provides various special education resources, including guides to the ARD process in English and Spanish, Child Find FAQs, and notices of procedural safeguards. They also offer resources for Autism, such as access to the Texas A&M BLINC lab online training for parents."
Rockwall ISD,www.rockwallisd.com,NOT FOUND,(972) 772-1175,1050 Williams St. Rockwall. TX. 75087,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Rockwall ISD provides specially designed instruction for students with disabilities in various settings, offering services such as audiology, counseling, transportation, and therapies. The Special Education Information Center (SPEDTex) offers resources and interactive features to increase family awareness of disabilities and special education processes."
Harmony Public Schools (Combined),https://www.harmonytx.org/,NOT FOUND,713-343-3333,"1255 Enclave Parkway, Houston, Texas 77077","Ipek Torun, Director - Section 504 and Dyslexia Programs",NOT FOUND,NOT FOUND,NOT FOUND,"Harmony Public Schools provides special programs to support students with disabilities in gaining college and career readiness, and independent living skills through active engagement in grade level curriculum. They also offer resources for parents and information on dyslexia and related disorders on their website."
Irving ISD,https://www.irvingisd.net/,NOT FOUND,972-600-4607,"2621 W. Airport Fwy. Irving, TX 75062",Trina Harsh,NOT FOUND,Monica Rawls,Carol Black,Irving ISD provides special services at no cost to families of eligible individuals from birth to 21 years of age who have a developmental delay or disability. SPEDTex offers resources and interactive features to increase family awareness of disabilities and special education processes.
New Caney ISD,www.newcaneyisd.org,NOT FOUND,(281) 577-8670,"22500 Eagle Drive New Caney, TX 77357",NOT FOUND,Brittany Hamilton,Amber Snyder,NOT FOUND,The Special Education Information Center (SPEDTex) provides resources and interactive features for increasing family awareness of disabilities and special education processes. Supplemental Special Education Services (SSES) are available as a one-time online grant.
Georgetown ISD,https://www.georgetownisd.org/,NOT FOUND,512-943-5008,"507 E. University Avenue, Georgetown, TX",NOT FOUND,NOT FOUND,Abbey Kelly,NOT FOUND,"Georgetown ISD provides special education services to children with disabilities to meet their unique needs in various settings. The district also provides related services including transportation, speech therapy, counseling, and a work-study program."
Bryan ISD,bryanisd.org,catherine.george@bryanisd.org,979-209-2780,"1307 Memorial Drive Bryan, TX 77802",NOT FOUND,NOT FOUND,NOT FOUND,Kimberly Adams,"Bryan ISD offers special education at no cost to parents for eligible children with disabilities, providing instruction in various settings like classrooms, homes, and hospitals. They also provide resources and interactive features for increasing family awareness of disabilities and special education processes."
College Station ISD,www.csisd.org,Blaire,979-764-5433,1812 Welsh Ave. College Station. TX. 77840,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"College Station ISD provides resources such as the Special Education Information Center (SPEDTex) which increases family awareness of disabilities and special education processes. Students identified with dyslexia have free access to Learning Ally, an educational reading app with audiobooks."
Waco ISD,https://www.wacoisd.org,NOT FOUND,254-755-9569,501 Franklin Avenue. Waco. TX. 76701,NOT FOUND,NOT FOUND,Cathy Parker,Barbara Ridings,Waco ISD offers free assessments to determine if a child needs special education services. The Special Education Information Center (SPEDTex) provides resources and interactive features for increasing family awareness of disabilities and special education processes.
Sherman ISD,www.shermanisd.net,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Sherman ISD is committed to supporting students through customized educational opportunities and partnerships between parents and staff. Special education services are available at every Sherman ISD campus. Sherman ISD offers dyslexia services on all campuses to all students who meet eligibility criteria.
